Table,Key,Id,Russian (ru)
OS_Alerts,FileFlattenerNoAccessDescription,3669725941850112,Сжатие отменено: У текущего пользователя нет прав на изменение {0} файл(ов) в текущем выборе
OS_Alerts,FileSystemExceptionTitle,3658443696103426,FileSystemException
OS_Alerts,GAdminIncorrectChessboardSolutionAlertBody,162826729678692354,Король сбежал. Попробуйте снова.
OS_Alerts,GAdminIncorrectChessboardSolutionAlertTitle,162826729678692353,Королевский зевок
OS_Alerts,GAdminInvalidChessboardBlackPiecesAlertBody,198639457697521664,Обнаружено недопустимое количество чёрных фигур. Дубликаты удалены.
OS_Alerts,GAdminInvalidChessboardPiecesAlertTitle,198639457680744448,Недопустимое количество шахматных фигур
OS_Alerts,GAdminInvalidChessboardPositionAlertBody,162802690067259393,Обнаружено недопустимое имя файла. Исходное имя шахматной фигуры восстановлено.
OS_Alerts,GAdminInvalidChessboardPositionAlertTitle,162802690067259392,Неверное имя файла
OS_Alerts,GAdminInvalidKingQuantityAlertBody,162802690067259394,Обнаружено недопустимое количество белых королей. Добавленные файлы удалены.
OS_Alerts,GAdminInvalidKnightQuantityAlertBody,162802690067259395,Обнаружено недопустимое количество белых коней на доске. Добавленные файлы удалены.
OS_Alerts,GAdminInvalidPawnQuantityAlertBody,198767153844838400,Обнаружено недопустимое количество белых пешек. Добавленные файлы удалены.
OS_Alerts,GAdminInvalidRookQuantityAlertBody,162802690067259396,Обнаружено недопустимое количество белых ладей на доске. Добавленные файлы удалены.
OS_Alerts,GAdminSolvedChessboardAlertBody,165607979858518016,"Отлично, королю некуда бежать"
OS_Alerts,GAdminSolvedChessboardAlertTitle,165607979854323712,Шах и мат
OS_Alerts,GHalibutCannotRestoreBody,208510760357191682,"У этого файла нет родительской директории. Он существует вне рабочих столов"
OS_Alerts,GHalibutCannotRestoreTitle,208510760357191681,WasteBinRecoveryException
OS_Alerts,GenericAlertTitle,3658443700297733,Внимание
OS_Alerts,GuppyLogOffNotAllowedBody,186382199081132033,Не удаётся выполнить запрос пользователя. (Ошибка ОС: Открытый исполняемый файл DEDAEMON препятствует операции (Исключение ОС: 0xMCPUMULCIQLSS))
OS_Alerts,HalibutHanoiCrashAlertBody,368498958336,Тебе здесь не место
OS_Alerts,HalibutHanoiCrashAlertTitle,81461764096,КРИТИЧЕСКАЯ_ОШиБкА
OS_Alerts,HalibutHanoiCrashFinalAlertBody,388635811840,ВЫЙТИ СЕЙЧАС
OS_Alerts,IncorrectCredentialsBody,104438222510088192,Неверные учётные данные. Имя пользователя или пароль указаны неправильно. Попробуйте ещё раз.
OS_Alerts,IncorrectCredentialsTitle,104438222501699584,NextRoomsException
OS_Alerts,InstallerDEExistingInstallationAlertBody,201458907714936832,Desktop Explorer уже установлен. Его папку можно найти на рабочем столе.
OS_Alerts,InstallerExistingInstallationAlertBody,3806912557604882,{0} уже установлен(о). Найти его можно в разделе «Программы» меню «Пуск».
OS_Alerts,InstallerExistingInstallationAlertTitle,201189470344568832,Уже установлено
OS_Alerts,InvalidAccessCreateCopyBody,3806912553410560,"Создана новая копия файла, так как у текущего пользователя нет прав на изменение оригинала."
OS_Alerts,InvalidAccessCreateCopyDescription,3658443696103425,"Создана новая копия файла, так как у текущего пользователя нет прав на изменение оригинала."
OS_Alerts,InvalidAccessEditBody,3806912557604865,У текущего пользователя нет прав на изменение: {0}.
OS_Alerts,InvalidAccessModifyDescription,3669725941850113,У текущего пользователя нет прав на изменение: {0}.
OS_Alerts,InvalidAccessTitle,3658443696103424,Доступ к файлу
OS_Alerts,InvalidOperationAlertTitle,3806912557604869,Недопустимая операция
OS_Alerts,InvalidSaveLocationAlertBody,214313140873060352,Создание файлов в текущей директории запрещено
OS_Alerts,IsSlowlyAlertBody,208510760340414464,"В системе закончилась память. Когда-то её отягощал стыд. Чтобы продолжить, забудьте его."
OS_Alerts,MaxNumberOfFilesInDirectoryBody,199105486928207872,Каталог достиг максимально допустимого количества файлов.
OS_Alerts,MaxNumberOfFilesInDirectoryTitle,199105486898847744,Превышен лимит файлов в каталоге
OS_Alerts,MultipleFileNoEditPermissionBody,3806912557604868,У текущего пользователя нет прав на изменение {0} файл(ов) в текущем выборе.
OS_Alerts,MultipleFileNoEditPermissionDescription,3669725941850116,У текущего пользователя нет прав на изменение {0}% файл(ов) в текущем выборе
OS_Alerts,NavigationExceptionAlertBody,3806912557604866,"Не удаётся открыть файл, путь = 'X:\Users\...\{0}' (Ошибка ОС: Не найден синтаксис имени файла, каталога или метки тома. (Исключение FILESYS: 0x6E6176657272))"
OS_Alerts,NavigationExceptionAlertDescription,3669725941850114,"Не удаётся открыть файл, путь = 'X:\\Users\\...\\{0}' (Ошибка ОС: Не найден синтаксис имени файла, каталога или метки тома. (Исключение FILESYS: 0xMEVXRBZYOTG))"
OS_Alerts,NavigationExceptionHalibutBody,3806912557604867,"Не удаётся открыть файл, путь = 'X:\\Users\\Halibut\\...\\{0}' (Ошибка DE_Error: Файл вне CAVE не найден. ЗАСТРЯЛО ДО РЕШЕНИЯ ГОЛОВОЛОМКИ. (Исключение PLYBS: YFIHEWXUWXCG))"
OS_Alerts,NavigationExceptionHalibutDescription,3669725941850115,"Не удаётся открыть файл, путь = 'X:\\Users\\Halibut\\...\\{0}' (Ошибка ОС: Не найден синтаксис имени файла, каталога или метки тома. (Исключение FILESYS: 0xMEVXRBZYOTG))"
OS_Alerts,NoArcadeCreditsInInventoryBody,201525247586852864,Не удалось начать игру. Для игры на аркадных автоматах в инвентаре должна быть ИГРОВАЯ КАРТА.
OS_Alerts,NoInternetAlertBody,3806912557604874,Подключение к интернету недоступно.
OS_Alerts,NoInternetAlertTitle,3806912557604873,Ошибка сети
OS_Alerts,OutOfMemoryExceptionAlertBody,3806912557604886,В системе закончилась память. Необходимо закрыть {0} окно(а).
OS_Alerts,OutOfMemoryExceptionAlertTitle,3806912557604885,OutOfMemoryException
OS_Alerts,OutOfMemoryExceptionSysNotificationBody,64189738479353856,"Превышено общее количество окон, очистка памяти от неиспользуемых вкладок."
OS_Alerts,OutsideDemoExceptionBody,3806912553410563,OutsideDemoExceptionBody
OS_Alerts,OutsideDemoExceptionDescription,3658443700297732,Произошла ошибка при попытке открыть программу. (Ошибка ОС: Несовместимая версия ОС. (OutsideDemoScopeException: 0x70617469656E63650A))
OS_Alerts,PasswordResetAlertBody,3806912557604884,Пароль пользователя успешно сброшен.
OS_Alerts,PauseCutsceneBody,216000698808000513,"Чтобы продолжить, нажмите ОК"
OS_Alerts,PauseCutsceneTitle,216000698808000512,ПАУЗА
OS_Alerts,ProjectXDemoAlertBody,3806912557604875,"Не удаётся открыть файл, путь = 'X:/Users/Halibut/Desktop/projectX' (Ошибка ОС: Несовместимая версия ОС. (OutsideDemoScopeException: 0x800734004))"
OS_Alerts,PuzzleDependentFilepathNoRenameBody,199105486928207873,Что-то мешает изменить путь этого файла (Ошибка ОС: Открытый исполняемый файл DEDAEMON препятствует операции (Исключение ОС: 0xVFVCGTTK))
OS_Alerts,RecoverWasteBinBody,208510760357191680,Восстановить значок WasteBin?
OS_Alerts,RecoverWasteBinTitle,208510760352997377,WasteBinRecovery
OS_Alerts,RoomieAlreadyUnlockedBody,201525247586852865,Roomie уже добавлен.
OS_Alerts,SafeModeInitBody,209566141984530434,NextOS перешла в БЕЗОПАСНЫЙ РЕЖИМ из-за проблем со стабильностью. Потенциально нестабильные процессы временно отключены.
OS_Alerts,SafeModeInitTitle,209566141984530433,SafeModeTriggerAlert
OS_Alerts,SecurityQuestion_MaxProfile_Ans1,102892066348982278,Стегозавр
OS_Alerts,SecurityQuestion_MaxProfile_Ans1_2,215821849998647296,Стегозавр
OS_Alerts,SecurityQuestion_MaxProfile_Ans2,102892066348982279,Каскадия
OS_Alerts,SecurityQuestion_MaxProfile_Ans2_2,215821849998647297,Каскадия
OS_Alerts,SecurityQuestion_MaxProfile_Ans3,102892066348982280,Файза
OS_Alerts,SecurityQuestion_MaxProfile_Hint1,102892066348982275,"по-детски, знаю… СМИРИСЬ С ЭТИМ!! ¯\_(ツ)_/¯ B)"
OS_Alerts,SecurityQuestion_MaxProfile_Hint2,102892066348982276,"САМАЯ КРУТАЯ художественная школа на северо-западе, ну естественно"
OS_Alerts,SecurityQuestion_MaxProfile_Hint3,102892066348982277,"да, включая моё второе имя… далеко не так круто, как MAX1MUS!"
OS_Alerts,SecurityQuestion_MaxProfile_IncorrectAnswer,102892066348982282,Неверный ответ!
OS_Alerts,SecurityQuestion_MaxProfile_Q1,102892066348982272,Какой мой любимый динозавр?
OS_Alerts,SecurityQuestion_MaxProfile_Q2,102892066348982273,Что означает ПЕРВАЯ БУКВА названия моей будущей школы? 
OS_Alerts,SecurityQuestion_MaxProfile_Q3,102892066348982274,Как моё ВТОРОЕ имя?
OS_Alerts,SecurityQuestion_MaxProfile_SuccessMessage,102892066348982281,Профиль успешно восстановлен. Пароль больше не требуется.
OS_Alerts,SecurityQuestion_MaxProfile_Title,102892066239930368,Вопросы для восстановления профиля
OS_Alerts,SelectLanguageConfirm,73959506765774848,Английский
OS_Alerts,SelectLanguageDecline,73959542996172800,Испанский
OS_Alerts,SelectLanguageDescription,73959478336782336,"Выберите язык игры, чтобы продолжить"
OS_Alerts,SelectLanguageTitle,73959338679042048,Выберите язык игры
OS_Alerts,ShowcaseDemoInputUsernameBody,41024900024852480,Введите имя пользователя
OS_Alerts,ShowcaseDemoShutdownBody,3806912557604878,"Вы уверены, что хотите завершить работу? Это удалит данные текущей сессии."
OS_Alerts,ShutdownAlertBody,3806912557604872,"Вы уверены, что хотите завершить работу системы?"
OS_Alerts,ShutdownAlertTitle,3806912557604871,Выключение
OS_Alerts,SkippedReadmeFileAlertBody,54410864894140416,"Вы продолжаете, не прочитав README.npg. Desktop Explorer рекомендует сначала ознакомиться с ним. Это сообщение больше не появится."
OS_Alerts,SysNotifFileCreatedBody,99241423373590528,Создан файл с путём: {0}.
OS_Alerts,SysNotifFolderCreatedBody,23957169324941312,Создана папка с путём: {0}
OS_Alerts,SysNotifGAdminAnkhWrite,160918524249759744,Новый файл добавлен в <b>folder:INVENTORY</b> пользователя <b>USER:M4x1mus</b> — <b>blackPawn.img</b>
OS_Alerts,SysNotifGAdminFigureheadWrite,162826729678692352,Новый файл добавлен в <b>folder:INVENTORY</b> пользователя <b>USER:M4x1mus</b> — <b>chessFigurehead.img</b>
OS_Alerts,SysNotifGHalibutFishingLureWrite,208933395968811008,Новый файл добавлен в <b>folder:INVENTORY</b> пользователя <b>USER:M4x1mus</b> — <b>fishingLure.img</b>
OS_Alerts,SysNotifWriteChronologEntryBody,94992533543706624,Доступна новая запись Chronolog для заполнения.
OS_Alerts,SystemNotificationNewFileAdded,109602412539404288,Добавлен новый файл: {0}
OS_Alerts,TemplePodiumPathChosen,173268375868268545,Око Гора запомнило выбранный вами путь
OS_Alerts,TimeSettingsApplyChangesError,194033432449245185,Не удаётся окончательно изменить системные дату и время (Ошибка TimeSettings: Вмешательство в повествовательную темпоральность недопустимо (Исключение T1M3S3T: 0xIWTFSAG))
OS_Alerts,TimeSettingsApplyChangesTitle,194033432449245184,TimeSettings Exception
OS_Alerts,UnsavedChangesBody,200785471489433600,"В этом файле есть несохранённые изменения. Вы уверены, что хотите закрыть его? Все изменения будут потеряны."
OS_Alerts,UnsavedChangesTitle,200785471472656384,Изменения не сохранены
OS_Alerts,WasteBinDeleteFileExceptionBody,3806912557604880,"У текущего пользователя нет прав на удаление: {0}%."""
OS_Alerts,WasteBinDeleteNonPlayerCreatedBody,183517156652081152,"Не удаётся окончательно удалить файл, путь = 'X:\\Users\\...\\{0}' (Ошибка ОС: Не удалось определить наличие у пользователя нужных прав (Исключение FILESYS: 0xVFVCGTTK))"
OS_Alerts,WasteBinEmptyAlertBody,3806912553410564,"Вы уверены, что хотите окончательно удалить объекты из WasteBin?"
OS_Alerts,WasteBinEmptyAlertDescription,3658443700297734,"Вы уверены, что хотите окончательно удалить объекты из WasteBin?"
OS_Alerts,WasteBinEmptySecondAlertBody,3806912553410565,"Вы ДЕЙСТВИТЕЛЬНО уверены? Эти файлы будут недоступны, пока вы не перезапустите файл сохранения."
OS_Alerts,WasteBinEmptySecondAlertDescription,3658443700297735,"Вы ДЕЙСТВИТЕЛЬНО уверены? Эти файлы будут недоступны, пока вы не перезапустите файл сохранения."
OS_Alerts,WasteBinOpenFileAlertBody,3806912553410566,"Файл нельзя открыть, находясь в WasteBin. Восстановить его в исходном расположении?"
OS_Alerts,WasteBinOpenFileAlertDescription,3658443700297736,"Файл нельзя открыть, находясь в WasteBin. Восстановить его в исходном расположении?"
OS_Alerts,WhatIsLeftAlertBody,193319471701549057,"В системе закончилась память. Когда-то её захламляло чувство вины. Чтобы продолжить, отпустите его."
OS_misc_contents,,77882855525441537,"T3 G3T, сертифицированная система OTE.
Copyright (c) 1995, Spiralsoft Electronics Inc."
OS_misc_contents,,77882855525441538,"Процессор Galleon 350, ACPI BIOS Rev 100"
OS_misc_contents,,77882855525441539,Главный процессор: Spiralsoft OB 7000
OS_misc_contents,,77882855525441540,Проверка памяти: 
OS_misc_contents,,77882855525441541,"Частота памяти 200 МГц, двухканальный режим"
OS_misc_contents,,77882855525441542,Обнаружение драйверов . . . /
OS_misc_contents,,77882855525441543,Основной контроллер:
OS_misc_contents,,77882855525441544,ZW100-33
OS_misc_contents,,77882855525441545,Второй контроллер:
OS_misc_contents,,77882855525441546,MIDNIGHT TX-23
OS_misc_contents,,77882855525441547,Основное устройство:
OS_misc_contents,,77882855525441548,MM024-10
OS_misc_contents,,77882855525441549,Второе устройство:
OS_misc_contents,,77882855525441550,RD52323
OS_misc_contents,,77882855525441551,Инициализация экрана входа . . . . . . . . . /
OS_misc_contents,,77882855525441552,"Это тестовая сборка игры, предоставленная только для тестирования и сбора отзывов. Всё содержимое, включая (но не ограничиваясь) визуальные эффекты, звук, игровые механики, элементы интерфейса и повествовательные элементы, находится в разработке и может измениться. Итоговое качество, производительность и функциональность в финальном релизе могут значительно отличаться."
OS_misc_contents,,77882855525441554,Навигация
OS_misc_contents,,77882855525441555,Мистическое приключение по интерфейсу
OS_misc_contents,,77882855525441556,Начать игру
OS_misc_contents,,77882855525441557,Настройки
OS_misc_contents,,77882855525441558,Наш Discord
OS_misc_contents,,77882855525441559,Выход
OS_misc_contents,,77882855525441560,Добавить в список желаемого Steam!
OS_misc_contents,,77882855525441561,ENTER = Выбрать
OS_misc_contents,,77882855525441562,- Демоверсия - 
OS_misc_contents,,77882855525441563,НАЙДЕН ФАЙЛ СОХРАНЕНИЯ
OS_misc_contents,,77882855525441564,ПРОДОЛЖИТЬ ИГРУ
OS_misc_contents,,77882855525441565,НАЧАТЬ ЗАНОВО
OS_misc_contents,,77882855525441566,ОТМЕНА
OS_misc_contents,,77882855525441567,- Меню настроек NEXT OS -
OS_misc_contents,,77882855525441568,Назад
OS_misc_contents,,77882855525441569,Применить
OS_misc_contents,,77882855525441570,Настроить
OS_misc_contents,,77882855525441571,Навигация
OS_misc_contents,,77882855525441572,Разрешение
OS_misc_contents,,77882855525441573,Полный экран
OS_misc_contents,,77882855525441574,Режим CRT
OS_misc_contents,,77882855525441575,-Хроматическая аберрация
OS_misc_contents,,77882855525441576,-Интенсивность сканлайнов
OS_misc_contents,,77882855525441577,ВЫКЛ
OS_misc_contents,,77882855525441578,НИЗКАЯ
OS_misc_contents,,77882855525441579,СРЕДНЯЯ
OS_misc_contents,,77882855525441580,ВЫСОКАЯ
OS_misc_contents,About_ProductKeyLabel,101448504050704384,Серийный ключ:
OS_misc_contents,About_VersionLabel,101448504042315776,Версия:
OS_misc_contents,Adm_Tower_Title,112125597210107904,БАШНЯ
OS_misc_contents,BIOS_AdvCRT_FilmGrain,100775841934336005,Зернистость
OS_misc_contents,BIOS_AdvCRT_Header,100775841934336001,Расширенный CRT
OS_misc_contents,BIOS_AdvCRT_RGBBlur,100775841934336004,Размытие RGB
OS_misc_contents,BIOS_AdvCRT_Scanlines,100775841934336002,Сканлайны
OS_misc_contents,BIOS_AdvCRT_ScreenCurve,100775841934336003,Изгиб экрана
OS_misc_contents,BIOS_Audio_Ambience,100768195114164226,Окружение
OS_misc_contents,BIOS_Audio_Header,100738524158877702,Звук
OS_misc_contents,BIOS_Audio_Master,100768195109969920,Общая громкость
OS_misc_contents,BIOS_Audio_Music,100768195114164224,Музыка
OS_misc_contents,BIOS_Audio_SFX,100768195114164225,Звук. эффекты
OS_misc_contents,BIOS_Display_AdvancedButtonTitle,100738524158877701,Дополнительно
OS_misc_contents,BIOS_Display_Anti-aliasing,100775841934336000,Сглаживание
OS_misc_contents,BIOS_Display_Borderless,101081502257766400,Без рамки
OS_misc_contents,BIOS_Display_CRTFilterTitle,100738524158877700,Фильтр CRT
OS_misc_contents,BIOS_Display_DisplayModeTitle,100738524158877698,Режим экрана
OS_misc_contents,BIOS_Display_Fullscreen,101081502228406272,Полный экран
OS_misc_contents,BIOS_Display_Header,100738524158877697,Экран
OS_misc_contents,BIOS_Display_ResolutionTitle,100738524158877699,Разрешение
OS_misc_contents,BIOS_Display_Windowed,101081502257766401,Оконный
OS_misc_contents,BIOS_General_Credits,100768195114164228,Титры
OS_misc_contents,BIOS_General_Header,100738524158877703,Общие
OS_misc_contents,BIOS_General_Language,100768195114164227,Язык
OS_misc_contents,BIOS_Header_DefaultButton,100776067629834240,Настройки по умолчанию
OS_misc_contents,BIOS_MenuHeader,100777579437350912,- Меню настроек NEXT OS - 
OS_misc_contents,BIOS_Setting_Off,101130946621726720,Выкл
OS_misc_contents,BIOS_Setting_On,101421595220762624,Вкл
OS_misc_contents,BootUp_Sqnc_Disclaimer_1,78037984601956368,"Это тестовая сборка игры, предоставленная только для тестирования и сбора отзывов. Всё содержимое, включая (но не ограничиваясь) визуальные эффекты, звук, игровые механики, элементы интерфейса и повествовательные элементы, находится в разработке и может измениться. Итоговое качество, производительность и функциональность в финальном релизе могут значительно отличаться."
OS_misc_contents,BootUp_Sqnc_InitalizeOverride_Guppy,98405417002983424,"Добро пожаловать, Guppy . . . . . . {0}"
OS_misc_contents,BootUp_Sqnc_Label_1,78037984601956353,"T3 G3T, сертифицированная система OTE.
Copyright (c) 1995, Spiralsoft Electronics Inc."
OS_misc_contents,BootUp_Sqnc_Label_10,78037984601956362,MIDNIGHT TX-23
OS_misc_contents,BootUp_Sqnc_Label_11,78037984601956363,Основное устройство:
OS_misc_contents,BootUp_Sqnc_Label_12,78037984601956364,MM024-10
OS_misc_contents,BootUp_Sqnc_Label_13,78037984601956365,Второе устройство:
OS_misc_contents,BootUp_Sqnc_Label_14,78037984601956366,RD52323
OS_misc_contents,BootUp_Sqnc_Label_15,78037984601956367,Инициализация {0} . . . . . . . . . {1}
OS_misc_contents,BootUp_Sqnc_Label_2,78037984601956354,"Процессор Galleon 350, ACPI BIOS Rev 100"
OS_misc_contents,BootUp_Sqnc_Label_3,78037984601956355,Главный процессор: Spiralsoft OB 7000
OS_misc_contents,BootUp_Sqnc_Label_4,78037984601956356,Проверка памяти: {0}
OS_misc_contents,BootUp_Sqnc_Label_5,78037984601956357,"Частота памяти 200 МГц, двухканальный режим"
OS_misc_contents,BootUp_Sqnc_Label_6,78037984601956358,Обнаружение драйверов . . . {0}
OS_misc_contents,BootUp_Sqnc_Label_7,78037984601956359,Основной контроллер:
OS_misc_contents,BootUp_Sqnc_Label_8,78037984601956360,ZW100-33
OS_misc_contents,BootUp_Sqnc_Label_9,78037984601956361,Дополнительный контроллер:
OS_misc_contents,BootUp_Sqnc_Login_Screen,85897608868913152,Экран входа
OS_misc_contents,BootUp_Sqnc_Safe_Mode,85897608877301760,БЕЗОПАСНЫЙ РЕЖИМ
OS_misc_contents,Chrono_WriteEntry,2154513468219392,Сделать запись
OS_misc_contents,Chronolog_About_Text,5761032113872899,«Не дай своим воспоминаниям ускользнуть... Занеси их в Chronolog и сохрани навсегда!»
OS_misc_contents,ColorlensInstaller_Hal_1,515453739013,Установка Colorlens
OS_misc_contents,ColorlensInstaller_Hal_2,515453739014,Поиск цветовых индексов...
OS_misc_contents,ColorlensInstaller_Hal_3,515453739015,Настройка призматики...
OS_misc_contents,ColorlensInstaller_Hal_4,515453739016,Распаковка фильтров...
OS_misc_contents,ColorlensInstaller_Hal_5,515453739017,Декодирование текстур...
OS_misc_contents,ColorlensInstaller_Hal_6,515453739018,Очистка разрешения изображений...
OS_misc_contents,Colorlens_About_Text,5761032113872900,«Твоя операционная система ещё никогда не выглядела так хорошо»
OS_misc_contents,CopperBoxInstaller_1,108027872415834112,Установка CopperBox
OS_misc_contents,CopperBoxInstaller_2,108027872424222720,Поиск индексов памяти...
OS_misc_contents,CopperBoxInstaller_3,108027872424222721,Инициализация графического компилятора...
OS_misc_contents,CopperBoxInstaller_4,108027872424222722,Распаковка текстур...
OS_misc_contents,CopperBoxInstaller_5,108027872424222723,Настройка таблиц рекордов...
OS_misc_contents,CopperBoxInstaller_6,108027872424222724,Настройка хитбоксов...
OS_misc_contents,CorkboardCreepy_alert_body,114532749975478273,ТЫ НЕ СМОЖЕШЬ ВЕЧНО ОТРИЦАТЬ ПРАВДУ
OS_misc_contents,CorkboardCreepy_alert_title,114532749975478272,ТУПИК
OS_misc_contents,CrashSequence_Hal_1,515453739024,ВЫЙТИ СЕЙЧАС
OS_misc_contents,CrashSequence_Hal_2,515453739025,ТЕБЕ ЗДЕСЬ НЕ МЕСТО
OS_misc_contents,CrashSequence_Hal_3,515453739026,ТЫ НИКОГДА НЕ ЗАБУДЕШЬ
OS_misc_contents,CrashSequence_Hal_4,515453739027,ХОЧЕШЬ ЛИ ТЫ ЗАБЫТЬ?
